timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV
164426.4334,327245.1563,-6.810293198,5.359664917,-4.251346588,0.381679386,0.015267176,-1.679389358,319.9795227,2761,1402.197754,-1,304.6875
164426.4448,327252.9688,-6.798324585,5.359664917,-4.337522507,0.564885497,0.061068702,-1.496183157,319.9795227,2761,1404.39563,-1,304.6875
164426.4536,327260.7813,-6.748054981,5.441053391,-4.315978527,0.045801528,0.061068702,-1.297709942,319.8260193,2762,1404.39563,-1,304.6875
164426.4621,327268.5938,-6.731298447,5.443447113,-4.272890568,-0.473282456,-0.030534351,-1.251908422,319.8260193,2762,1405.128174,-1,304.6875
164426.4636,327276.4063,-6.743267536,5.455415726,-4.220227242,-0.885496199,0.24427481,-1.755725145,319.6726685,2763,1405.86084,-1,304.6875
164426.4717,327284.2188,-6.791142941,5.443447113,-4.217833519,-0.778625965,0.274809152,-2.04580164,319.9795227,2761,1406.593384,-1,304.6875
164426.4856,327292.0313,-6.827049732,5.374027729,-4.220227242,-0.152671754,0.748091578,-1.893129826,319.6726685,2763,1404.39563,-1,304.6875
164426.4871,327299.8438,-6.822262287,5.388390064,-4.248952866,0.335877866,0.885496199,-1.297709942,319.8260193,2762,1402.93042,-1,304.6875
164426.4945,327307.6563,-6.839018345,5.397965431,-4.28725338,-0.290076345,0.427480906,-1.206106901,319.8260193,2762,1400,-1,304.6875
164426.4962,327315.4688,-6.795930386,5.409934044,-4.253740311,-0.656488538,-0.259541988,-0.320610672,319.8260193,2762,1397.06958,-1,218.75
164426.5097,327323.2813,-6.793536663,5.426690578,-4.241771221,-0.748091578,-0.290076345,-0.458015263,319.6726685,2763,1396.337036,-1,218.75
164426.5166,327331.0938,-6.731298447,5.455415726,-4.225015163,-0.793893158,-0.53435117,-0.687022924,319.6726685,2763,1396.337036,-1,218.75
164426.5267,327338.9063,-6.740873814,5.491322517,-4.244164944,-0.274809152,-0.458015263,-0.687022924,319.5194397,2764,1400,-1,218.75
164426.5396,327346.7188,-6.736086369,5.48414135,-4.265708923,0.106870227,-0.061068702,-1.06870234,319.6726685,2763,1404.39563,-1,218.75
164426.5408,327354.5313,-6.702573299,5.448234558,-4.253740311,-0.091603056,-0.061068702,-1.572519064,319.5194397,2764,1406.593384,-1,218.75
164426.5519,327362.3438,-6.692998409,5.450628281,-4.225015163,-0.366412222,0.48854962,-1.603053451,319.5194397,2764,1406.593384,-1,218.75
164426.5567,327370.1563,-6.707360744,5.407540321,-4.225015163,-0.671755731,0.320610672,-1.862595439,319.5194397,2764,1406.593384,-1,218.75
164426.5645,327377.9688,-6.719329834,5.409934044,-4.234590054,-1.038167953,0.366412222,-1.664122105,319.6726685,2763,1405.128174,-1,218.75
164426.5744,327385.7813,-6.755236149,5.393177509,-4.246559143,-0.97709924,-0.183206111,-1.648854971,319.3663635,2765,1402.93042,-1,218.75
164426.5757,327393.5938,-6.793536663,5.395571709,-4.277678013,-0.961832047,-0.183206111,-1.206106901,319.3663635,2765,1401.46521,-1,218.75
164426.5932,327401.4063,-6.798324585,5.383602619,-4.282465458,-0.366412222,-0.53435117,-1.221374035,319.3663635,2765,1403.662964,-1,218.75
164426.6016,327409.2188,-6.783961773,5.407540321,-4.260921478,-0.320610672,-0.641221344,-0.854961812,319.3663635,2765,1404.39563,-1,218.75
