Stamp,GSR
797,692
798,697
799,702
800,693
801,699
802,703
803,691
804,697
805,697
806,695
807,699
808,699
809,705
810,698
811,698
812,697
813,694
814,701
815,698
816,697
817,697
818,698
819,699
820,694
821,697
822,702
823,698
824,695
825,697
826,694
827,704
828,695
829,700
830,689
831,698
832,693
833,700
834,699
835,706
836,704
837,699
838,697
839,699
840,692
841,690
842,694
843,697
844,702
845,699
846,704
847,700
848,696
849,693
850,697
851,697
852,694
853,693
854,698
855,699
856,702
857,698
858,695
859,696
860,694
861,704
862,703
863,700
864,697
865,696
866,699
867,695
868,704
869,693
870,699
871,697
872,692
873,696
874,702
875,695
876,702
877,691
878,696
879,692
880,701
881,693
882,696
883,694
884,698
885,693
886,702
887,693
888,698
889,690
890,696
891,699
892,693
893,696
894,688
895,697
896,690
897,691
898,698
899,694
900,688
901,693
902,691
903,704
904,697
905,697
906,692
907,689
908,694
909,700
910,699
911,694
912,698
913,696
914,695
915,698
916,688
917,691
918,701
919,700
920,689
921,697
922,692
923,700
924,695
925,702
926,690
927,701
928,689
929,691
930,696
931,695
932,699
933,698
934,696
935,687
936,694
937,689
938,697
939,699
940,702
941,694
942,697
943,697
944,692
945,693
946,696
947,700
948,690
949,691
950,689
951,702
952,700
953,695
954,697
955,700
956,697
957,693
958,696
959,697
960,690
961,696
962,696
963,692
964,688
965,696
966,697
967,696
968,701
969,696
970,702
971,699
972,699
973,693
974,702
975,698
976,692
977,694
978,696
979,687
980,693
981,694
982,698
983,694
984,693
985,696
986,689
987,696
988,693
989,691
990,696
991,690
992,688
993,702
994,697
995,698
996,702
997,698
998,697
999,697
1000,697
1001,696
1002,694
1003,696
1004,698
1005,694
1006,689
1007,698
1008,696
1009,699
1010,698
1011,689
1012,691
1013,699
1014,687
1015,689
1016,692
1017,699
1018,695
1019,696
1020,686
1021,691
1022,685
1023,692
1024,691
1025,694
1026,696
1027,703
1028,684
1029,686
1030,693
1031,692
1032,687
1033,693
1034,690
1035,692
1036,698
1037,689
1038,685
1039,688
1040,685
1041,696
1042,690
1043,700
1044,692
1045,689
1046,690
1047,694
1048,694
1049,692
1050,692
1051,695
1052,690
1053,696
1054,693
1055,688
1056,692
1057,697
1058,699
1059,691
1060,696
1061,684
1062,691
1063,693
1064,694
1065,684
1066,689
1067,688
1068,690
1069,696
1070,694
1071,693
1072,689
1073,682
1074,683
1075,700
1076,694
1077,689
1078,692
1079,695
1080,699
1081,695
1082,690
1083,693
1084,695
1085,687
1086,696
1087,696
1088,696
1089,686
1090,692
1091,690
1092,685
1093,689
1094,693
1095,689
1096,695
1097,688
1098,695
1099,685
1100,698
1101,687
1102,694
1103,698
1104,692
1105,693
1106,692
1107,697
1108,702
1109,692
1110,698
1111,692
1112,694
1113,696
1114,693
1115,686
1116,687
1117,693
1118,691
1119,687
1120,689
1121,697
1122,692
1123,692
1124,694
1125,689
1126,685
1127,690
1128,687
1129,690
1130,694
1131,694
1132,694
1133,694
1134,695
1135,695
1136,698
1137,696
1138,691
1139,697
1140,695
1141,694
1142,693
1143,688
1144,684
1145,696
1146,685
1147,698
1148,697
1149,699
1150,685
1151,696
1152,698
1153,698
1154,691
1155,687
1156,688
1157,693
1158,684
1159,692
1160,691
1161,695
1162,697
1163,691
1164,692
1165,696
1166,690
1167,693
1168,695
1169,700
1170,690
1171,695
1172,691
1173,693
1174,692
1175,693
1176,691
1177,694
1178,699
1179,690
1180,690
1181,689
1182,688
1183,697
1184,685
1185,689
1186,687
1187,690
1188,688
1189,692
1190,695
1191,694
1192,694
1193,694
1194,697
1195,695
1196,682
1197,690
1198,694
1199,694
1200,689
1201,689
1202,697
1203,697
1204,695
1205,694
1206,686
1207,688
1208,699
1209,692
1210,696
1211,693
1212,692
1213,684
1214,687
1215,691
1216,695
1217,695
1218,689
1219,692
1220,696
1221,686
1222,690
1223,690
1224,697
1225,689
1226,695
1227,689
1228,687
1229,682
1230,687
1231,687
1232,695
1233,691
1234,690
1235,687
1236,693
1237,689
1238,685
1239,690
1240,691
1241,686
1242,688
1243,681
1244,697
1245,692
1246,699
1247,699
1248,688
1249,693
1250,688
1251,690
1252,686
1253,699
1254,699
1255,697
1256,693
1257,686
1258,684
1259,693
1260,686
1261,699
1262,688
1263,685
1264,685
1265,695
1266,690
1267,695
1268,688
1269,686
1270,701
1271,695
1272,695
1273,694
1274,685
1275,687
1276,692
1277,699
1278,688
1279,693
1280,687
1281,688
1282,690
1283,692
1284,689
1285,694
1286,695
1287,688
1288,697
1289,693
1290,693
1291,692
1292,684
1293,690
1294,687
1295,695
1296,695
1297,690
1298,696
1299,694
1300,688
1301,692
1302,691
1303,696
1304,690
1305,689
1306,696
1307,696
1308,687
1309,685
1310,692
1311,685
1312,692
1313,687
1314,686
1315,696
1316,686
1317,684
1318,691
1319,686
1320,688
1321,688
1322,689
1323,692
1324,688
1325,702
1326,688
1327,689
1328,690
1329,691
1330,686
1331,686
1332,688
1333,686
1334,690
1335,691
1336,683
1337,688
1338,695
1339,689
1340,688
1341,696
1342,690
1343,689
1344,694
1345,686
1346,694
1347,701
1348,690
1349,693
1350,690
1351,685
1352,691
1353,695
1354,689
1355,686
1356,689
1357,691
1358,700
1359,700
1360,687
1361,689
1362,688
1363,698
1364,689
1365,684
1366,687
1367,691
1368,694
1369,691
1370,683
1371,686
1372,685
1373,694
1374,692
1375,693
1376,692
1377,695
1378,690
1379,685
1380,691
1381,690
1382,688
1383,690
1384,695
1385,695
1386,686
1387,693
1388,686
1389,690
1390,691
1391,690
1392,690
1393,689
1394,689
1395,690
1396,685
1397,690
1398,693
1399,691
1400,690
1401,690
1402,687
1403,696
1404,690
1405,688
1406,690
1407,685
1408,691
1409,692
1410,685
1411,688
1412,688
1413,691
1414,684
1415,692
1416,687
1417,692
1418,687
1419,692
1420,694
1421,690
1422,689
1423,695
1424,689
1425,684
1426,689
1427,689
1428,688
1429,688
1430,681
1431,690
1432,686
1433,690
1434,686
1435,691
1436,689
1437,688
1438,686
1439,687
1440,696
1441,682
1442,685
1443,682
1444,684
1445,690
1446,689
1447,683
1448,691
1449,686
1450,684
1451,693
1452,690
1453,692
1454,684
1455,687
1456,688
1457,686
1458,694
1459,689
1460,687
1461,690
1462,686
1463,688
1464,686
1465,682
1466,694
1467,686
1468,687
1469,689
1470,688
1471,689
1472,686
1473,689
1474,693
1475,688
1476,694
1477,685
1478,686
1479,684
1480,693
1481,690
1482,685
1483,691
1484,697
1485,684
1486,691
1487,689
1488,699
1489,686
1490,689
1491,689
1492,683
1493,692
1494,680
1495,691
1496,691
1497,688
1498,696
1499,689
1500,693
1501,693
1502,690
1503,695
1504,681
1505,690
1506,692
1507,689
1508,681
1509,692
1510,693
1511,690
1512,686
1513,679
1514,687
1515,680
1516,692
1517,690
1518,691
1519,694
1520,688
1521,682
1522,697
1523,691
1524,689
1525,688
1526,690
1527,689
1528,687
1529,694
1530,683
1531,686
1532,690
1533,685
1534,687
1535,680
1536,686
1537,687
1538,686
1539,688
1540,692
1541,691
1542,693
1543,687
1544,680
1545,691
1546,686
1547,687
1548,692
1549,693
1550,693
1551,687
1552,690
1553,681
1554,691
1555,694
1556,686
1557,683
1558,692
1559,694
1560,691
1561,689
1562,690
1563,692
1564,690
1565,687
1566,692
1567,686
1568,683
1569,688
1570,681
1571,695
1572,688
1573,679
1574,690
1575,692
1576,686
1577,690
1578,688
1579,685
1580,686
1581,692
1582,686
1583,685
1584,689
1585,692
1586,684
1587,688
1588,691
1589,688
1590,687
1591,689
1592,685
1593,682
1594,693
1595,693
1596,691
1597,686
1598,683
1599,689
1600,697
1601,686
1602,688
1603,682
1604,685
1605,687
1606,686
1607,688
1608,691
1609,691
1610,687
1611,693
1612,686
1613,686
1614,688
1615,680
1616,690
1617,686
1618,691
1619,682
1620,688
1621,684
1622,690
1623,691
1624,688
1625,683
1626,683
1627,690
1628,692
1629,692
1630,691
1631,691
1632,686
1633,693
1634,682
1635,689
1636,688
1637,688
1638,687
1639,683
1640,694
1641,685
1642,686
1643,688
1644,683
1645,692
1646,689
1647,687
1648,678
1649,695
1650,693
1651,685
1652,684
1653,692
1654,686
1655,694
1656,681
1657,689
1658,692
1659,687
1660,686
1661,683
1662,682
1663,689
1664,685
1665,686
1666,687
1667,685
1668,685
1669,694
1670,692
1671,685
1672,687
1673,690
1674,689
1675,687
1676,678
1677,683
1678,686
1679,674
1680,685
1681,690
1682,692
1683,694
1684,693
1685,686
1686,684
1687,688
1688,697
1689,688
1690,684
1691,687
1692,677
1693,689
1694,683
1695,688
1696,683
1697,682
1698,685
1699,692
1700,696
1701,689
1702,690
1703,684
1704,693
1705,693
1706,685
1707,687
1708,681
1709,687
1710,687
1711,687
1712,684
1713,690
1714,685
1715,690
1716,692
1717,688
1718,686
1719,691
1720,685
1721,688
1722,690
1723,685
1724,689
1725,691
1726,676
1727,685
1728,687
1729,682
1730,690
1731,683
1732,682
1733,685
1734,684
1735,682
1736,689
1737,693
1738,684
1739,688
1740,679
1741,691
1742,682
1743,690
1744,684
1745,684
1746,688
1747,691
1748,677
1749,690
1750,682
1751,692
1752,687
1753,683
1754,690
1755,685
1756,680
1757,687
1758,685
1759,685
1760,682
1761,686
1762,680
1763,695
1764,676
1765,684
1766,687
1767,679
1768,687
1769,680
1770,683
1771,692
1772,693
1773,685
1774,684
1775,688
1776,685
1777,684
1778,678
1779,676
1780,679
1781,687
1782,687
1783,683
1784,689
1785,681
1786,688
1787,688
1788,681
1789,686
1790,683
1791,681
1792,680
1793,688
1794,681
1795,690
1796,686
1797,679
1798,688
1799,679
1800,682
1801,688
1802,685
1803,686
1804,681
1805,683
1806,689
1807,686
1808,688
1809,686
1810,684
1811,687
1812,688
1813,679
1814,687
1815,688
1816,692
1817,677
1818,690
1819,676
1820,682
1821,689
1822,696
1823,694
1824,685
1825,684
1826,688
1827,689
1828,682
1829,683
1830,689
1831,688
1832,683
1833,687
1834,689
1835,693
1836,685
1837,683
1838,686
1839,682
1840,685
1841,691
1842,690
1843,688
1844,678
1845,684
1846,689
1847,679
