0,549
1,550
2,549
3,551
4,551
5,552
6,554
7,556
8,560
9,560
10,559
11,561
12,561
13,562
14,565
15,566
16,568
17,568
18,567
19,570
20,570
21,568
22,571
23,569
24,575
25,574
26,575
27,574
28,573
29,574
30,574
31,574
32,572
33,579
34,577
35,577
36,576
37,573
38,575
39,575
40,576
41,580
42,577
43,575
44,574
45,574
46,573
47,573
48,575
49,575
50,572
51,572
52,571
53,571
54,569
55,570
56,571
57,570
58,570
59,569
60,568
61,568
62,566
63,566
64,565
65,566
66,566
67,566
68,565
69,564
70,564
71,563
72,564
73,564
74,563
75,564
76,561
77,561
78,561
79,560
80,562
81,561
82,561
83,563
84,560
85,561
86,558
87,559
88,560
89,560
90,560
91,560
92,560
93,558
94,558
95,557
96,555
97,556
98,557
99,558
100,557
101,556
102,554
103,555
104,555
105,557
106,557
107,557
108,555
109,554
110,554
111,554
112,554
113,556
114,554
115,550
116,553
117,554
118,553
119,553
120,555
121,554
122,549
123,554
124,553
125,551
126,554
127,556
128,554
129,551
130,556
131,553
132,555
133,555
134,555
135,556
136,556
137,556
138,559
139,558
140,559
141,559
142,560
143,558
144,559
145,561
146,561
147,562
148,563
149,561
150,562
151,561
152,562
153,561
154,563
155,558
156,563
157,564
158,562
159,561
160,563
161,563
162,563
163,562
164,563
165,564
166,564
167,561
168,564
169,561
170,561
171,563
172,563
173,563
174,561
175,562
176,562
177,556
178,562
179,562
180,563
181,562
182,562
183,560
184,561
185,560
186,564
187,558
188,561
189,561
190,560
191,561
192,562
193,559
194,560
195,559
196,561
197,557
198,559
199,558
200,557
201,557
202,558
203,557
204,557
205,556
206,556
207,556
208,555
209,554
210,554
211,555
212,555
213,556
214,554
215,553
216,554
217,555
218,553
219,554
220,554
221,555
222,554
223,553
224,555
225,554
226,555
227,555
228,557
229,558
230,555
231,557
232,556
233,558
234,558
235,558
236,559
237,559
238,560
239,559
240,555
241,560
242,561
243,560
244,563
245,561
246,561
247,563
248,562
249,562
250,561
251,562
252,562
253,564
254,559
255,562
256,562
257,563
258,563
259,564
260,566
261,569
262,569
263,565
264,570
265,569
266,571
267,572
268,575
269,577
270,576
271,578
272,577
273,579
274,576
275,580
276,581
277,581
278,581
279,582
280,581
281,580
282,580
283,580
284,582
285,583
286,582
287,582
288,582
289,584
290,583
291,584
292,584
293,585
294,584
295,579
296,583
297,583
298,579
299,582
300,583
301,583
302,584
303,583
304,581
305,582
306,582
307,581
308,583
309,586
310,586
311,586
312,585
313,582
314,587
315,585
316,590
317,587
318,587
319,590
320,590
321,588
322,590
323,588
324,592
325,593
326,592
327,594
328,594
329,590
330,592
331,592
332,596
333,593
334,594
335,597
336,592
337,592
338,591
339,592
340,593
341,594
342,593
343,593
344,593
