,0
0,690
1,682
2,687
3,687
4,688
5,684
6,686
7,685
8,686
9,683
10,688
11,689
12,692
13,682
14,685
15,694
16,691
17,691
18,688
19,685
20,693
21,686
22,689
23,688
24,692
25,678
26,680
27,685
28,691
29,683
30,682
31,692
32,689
33,684
34,681
35,690
36,687
37,689
38,681
39,690
40,691
41,680
42,685
43,681
44,686
45,690
46,683
47,683
48,693
49,682
50,682
51,684
52,689
53,685
54,691
55,687
56,689
57,686
58,679
59,691
60,685
61,687
62,683
63,687
64,689
65,688
66,687
67,692
68,692
69,683
70,685
71,693
72,697
73,683
74,679
75,689
76,691
77,686
78,682
79,688
80,688
81,690
82,678
83,685
84,683
85,688
86,687
87,686
88,687
89,689
90,689
91,687
92,683
93,691
94,683
95,691
96,686
97,685
98,683
99,688
100,692
101,679
102,680
103,688
104,695
105,689
106,686
107,695
108,693
109,685
110,690
111,692
112,689
113,678
114,686
115,694
116,690
117,687
118,682
119,692
120,688
121,686
122,686
123,690
124,688
125,692
126,683
127,690
128,690
129,686
130,688
131,690
132,694
133,686
134,688
135,685
136,684
137,690
138,683
139,691
140,689
141,691
142,683
143,687
144,688
145,679
146,687
147,686
148,688
149,687
150,684
151,693
152,694
153,684
154,689
155,685
156,687
157,684
158,685
159,688
160,688
161,691
162,683
163,685
164,692
165,679
166,692
167,685
168,689
169,687
170,685
171,680
172,692
173,688
174,680
175,692
176,687
177,685
178,686
179,685
180,685
181,686
182,680
183,689
184,690
185,687
186,688
187,685
188,690
189,687
190,684
191,687
192,690
193,688
194,689
195,693
196,689
197,686
198,685
199,687
200,684
201,681
202,687
203,680
204,693
205,680
206,684
207,683
208,690
209,680
210,682
211,690
212,691
213,682
214,681
215,687
216,682
217,680
218,688
219,685
220,691
221,688
222,687
223,685
224,692
225,679
226,684
227,687
228,687
229,683
230,678
231,687
232,687
233,687
234,682
235,689
236,683
237,688
238,684
239,685
240,689
241,682
242,680
243,688
244,685
245,684
246,692
247,686
248,683
249,687
250,682
251,689
252,689
253,677
254,681
255,686
256,687
257,687
258,684
259,683
260,685
261,687
262,685
263,685
264,690
265,682
266,686
267,681
268,681
269,686
270,684
271,687
272,690
273,687
274,679
275,685
276,688
277,686
278,685
279,687
280,684
281,688
282,686
283,684
284,690
285,689
286,680
287,684
288,674
289,685
290,683
291,679
292,684
293,685
294,679
295,689
296,684
297,682
298,681
299,689
300,687
301,682
302,673
303,687
304,690
305,689
306,683
307,688
308,686
309,676
310,685
311,693
312,685
313,676
314,684
315,694
316,692
317,683
318,683
319,689
320,682
321,680
322,685
323,688
324,687
325,682
326,691
327,686
328,688
329,682
330,680
331,680
332,684
333,677
334,685
335,686
336,681
337,687
338,681
339,689
340,688
341,684
342,687
343,687
344,687
345,680
346,683
347,680
348,686
349,684
350,686
351,690
352,684
353,680
354,679
355,675
356,681
357,682
358,680
359,691
360,684
361,679
362,679
363,682
364,685
365,685
366,686
367,685
368,685
369,679
370,685
371,682
372,687
373,679
374,684
375,689
376,690
377,674
378,680
379,681
380,688
381,678
382,681
383,688
384,685
385,685
386,682
387,687
388,687
389,686
390,684
391,686
392,678
393,688
394,673
395,682
396,681
397,682
398,679
399,683
400,681
401,681
402,681
403,687
404,687
405,680
406,679
407,691
408,678
409,681
410,684
411,680
412,688
413,683
414,684
415,686
416,683
417,683
418,681
419,681
420,689
421,681
422,679
423,683
424,683
425,681
426,678
427,683
428,688
429,685
430,680
431,679
432,684
433,679
434,683
435,683
436,690
437,686
438,681
439,684
440,693
441,683
442,681
443,692
444,690
445,674
446,676
447,691
448,681
449,684
450,683
451,680
452,684
453,686
454,683
455,684
456,690
457,688
458,679
459,686
460,685
461,680
462,683
463,687
464,686
465,686
466,683
467,686
468,685
469,680
470,681
471,688
472,686
473,680
474,685
475,681
476,688
477,680
478,686
479,680
480,683
481,676
482,682
483,681
484,684
485,686
486,680
487,685
488,689
489,686
490,686
491,678
492,689
493,686
494,680
495,684
496,691
497,684
498,676
499,689
500,681
501,685
502,680
503,683
504,682
505,681
506,680
507,685
508,688
509,677
510,679
511,681
512,688
513,674
514,675
515,688
516,688
517,683
518,683
519,689
520,686
521,681
522,680
523,685
524,689
525,689
526,678
527,685
528,684
529,682
530,682
531,685
532,686
533,685
534,673
535,686
536,678
537,689
538,685
539,683
540,684
541,679
542,679
543,683
544,684
545,683
546,677
547,682
548,684
549,678
550,680
551,682
552,685
553,677
554,680
555,679
556,682
557,675
558,684
559,687
560,683
561,682
562,682
563,684
564,683
565,672
566,684
567,685
568,686
569,683
570,685
571,686
572,688
573,683
574,676
575,688
576,685
577,681
578,690
579,682
580,690
581,675
582,676
583,682
584,681
585,684
586,684
587,682
588,682
589,679
590,676
591,690
592,691
593,682
594,679
595,681
596,691
597,678
598,681
599,680
600,682
601,679
602,680
603,679
604,688
605,687
